stop_lat,stop_lon,type,multimodal
28.675991,77.321495,Metro,Dilshad Garden(1_DG)
28.675648,77.312393,Metro,Jhilmil(2_Jh)
28.675352,77.301178,Metro,Mansrover park(3_Mp)
28.673531,77.28727,Metro,Shahdara(4_Sh)
28.671986,77.277931,Metro,Welcome(5_We)
28.670324,77.267311,Metro,Seelam Pur(6_SP)
28.668451,77.250404,Metro,Shastri Park(7_SP)
28.667879,77.228012,Metro,Kashmere Gate(8_KG)
28.667137,77.216721,Metro,Tis Hazari(9_TH)
28.66571,77.206329,Metro,Pul Bangash(10_PB)
28.666632,77.196869,Metro,Pratap Nagar(11_PN)
28.670135,77.181679,Metro,Shastri Nagar(12_SN)
28.673452,77.170235,Metro,Inderlok(13_In)
28.682386,77.162552,Metro,Kanhaiya Nagar(14_KN)
28.688944,77.161774,Metro,Keshav Puram(15_KP)
28.695637,77.152428,Metro,Netaji Subash Place(16_NS)
28.697943,77.140465,Metro,Kohat Enclave(17_KE)
28.70318,77.132355,Metro,Pitampura(18_Pi)
28.707941,77.125732,Metro,Rohini East(19_RE)
28.715008,77.115746,Metro,Rohini West(20_RW)
28.720821,77.105042,Metro,Rithala(21_Ri)
28.682411,77.028282,Metro,Mundka(22_Mu)
28.682217,77.043869,Metro,Rajdhani Park(23_RP)
28.682091,77.05619,Metro,Nangloi Railway Station(24_NR)
28.682356,77.064728,Metro,Nangloi(25_Na)
28.681833,77.073891,Metro,Maharaja Surajmal Stadium(26_MS)
28.681047,77.078674,Metro,Udyog Nagar(27_UN)
28.67972,77.092491,Metro,Peera Garhi(28_PG)
28.678539,77.102119,Metro,Paschim Vihar (West)(29_PV)
28.677305,77.112251,Metro,Paschim Vihar (East)(30_PV)
28.676418,77.117294,Metro,Madipur(31_Ma)
28.674965,77.128258,Metro,Shivaji Park(32_SP)
28.672943,77.146011,Metro,Punjabi Bagh(33_PB)
28.671572,77.155159,Metro,Ashok Park Main(34_AP)
28.662188,77.157829,Metro,Satguru Ram Singh Marg(35_SR)
28.742872,77.146545,Metro,Samaypur Badli(36_SB)
28.740192,77.135574,Metro,Rohini Sector 18-19(37_RS)
28.718657,77.149956,Metro,Haiderpur Badli Mor(38_HB)
28.72818,77.16124,Metro,Jahangirpuri(39_Ja)
28.696377,77.208809,Metro,Adarsh Nagar(40_AN)
28.707287,77.179863,Metro,Azadpur(41_Az)
28.702833,77.193764,Metro,Model Town(42_MT)
28.698195,77.206985,Metro,Guru Tegh Bahadur Nagar(43_GT)
28.694765,77.212418,Metro,Vishwavidyalaya(44_Vi)
28.687845,77.221626,Metro,Vidhan Sabha(45_VS)
28.676945,77.224953,Metro,Civil Lines(46_CL)
28.656443,77.229218,Metro,Chandni Chowk(47_CC)
28.649635,77.22628,Metro,Chawri Bazar(48_CB)
28.642944,77.222351,Metro,New Delhi(49_ND)
28.632896,77.219574,Metro,Rajiv Chowk(50_RC)
28.622967,77.212288,Metro,Patel Chowk(51_PC)
28.614973,77.212029,Metro,Central Secretariat(52_CS)
28.611525,77.210052,Metro,Udyog Bhawan(53_UB)
28.597519,77.209122,Metro,Lok Kalyan Marg(54_LK)
28.587234,77.212662,Metro,Jorbagh(55_Jo)
28.575195,77.209473,Metro,Dilli Haat - INA(56_DH)
28.568199,77.207947,Metro,AIIMS(57_AI)
28.559853,77.206902,Metro,Green Park(58_GP)
28.543346,77.206673,Metro,Hauz Khas(59_HK)
28.52817,77.205612,Metro,Malviya Nagar(60_MN)
28.520638,77.199379,Metro,Saket(61_Sa)
28.512714,77.185791,Metro,Qutab Minar(62_QM)
28.506584,77.174866,Metro,Chhattarpur(63_Ch)
28.499214,77.161362,Metro,Sultanpur(64_Su)
28.49383,77.149071,Metro,Ghitorni(65_Gh)
28.48082,77.12587,Metro,Arjan Garh(66_AG)
28.482075,77.102219,Metro,Gurudronacharya(67_Gu)
28.481352,77.092995,Metro,Sikanderpur(68_Si)
